"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Guide to good manners","Jane Austen's guide to good manners : compliments, charades & horrible blunders","013511978","Monograph","Language material ; Text","Volume","GBA662536","","9780747584742","Ross, Josephine","","person","author","Webb, Henrietta, illustrator [person] ; Ross, Josephine, author [person]","","","England","London","Bloomsbury","2006","","vii, 133 pages, illustrations, 19 cm","395","YK.2009.a.9376","Austen, Jane, 1775-1817--Knowledge--Manners and customs ; Etiquette--Great Britain ; Great Britain--Social life and customs--19th century","","English","",""
"Guide to good manners","Jane Austen's guide to good manners : compliments, charades & horrible blunders","015342002","Monograph","Language material ; Text","Volume","GBA977055","","9781408803813","Ross, Josephine","","person","author","Ross, Josephine, author [person]","","","England","London","Bloomsbury","2009","","x, 128 pages, illustrations, 20 cm","395","YK.2010.a.30458","Austen, Jane, 1775-1817--Knowledge--Manners and customs ; Etiquette--Great Britain ; Great Britain--Social life and customs--19th century","","English","Originally published: 2006",""
"Guide to good manners","Jane Austen's guide to good manners : compliments, charades & horrible blunders","017960279","Monograph","Language material ; Text","Online resource","GBB6I4038","","9781408834725 ; 9781596919945","Ross, Josephine","","person","author","Webb, Henrietta, illustrator [person] ; Ross, Josephine, author [person]","","","England","London","Bloomsbury","2006","","1 online resource (vii, 133 pages), illustrations","395.0942","ELD.DS.72270","Austen, Jane, 1775-1817 ; Great Britain ; Etiquette--Great Britain ; Great Britain--Social life and customs--19th century ; Manners and customs ; Humour ; Humor--General ; Austen, Jane, 1775-1817--Knowledge--Manners and customs","","English","",""
"Guide to modern dilemmas","Jane Austen's guide to modern dilemmas","016795080","Monograph","Language material ; Still image ; Text","Volume","GBB474954","","9781782401643","Smith, Rebecca","1966-","person","author","Smith, Rebecca, 1966-, author [person]","","","England","Lewes","","2014","","223 pages, black and white illustrations, 21 cm","646.7","","Austen, Jane, 1775-1817--Philosophy ; Life skills--Handbooks, manuals, etc","Handbook or manual","English","Originally published: 2012",""
"Guide to modern life's dilemmas","Jane Austen's guide to modern life's dilemmas","016091532","Monograph","Language material ; Text","Volume","GBB250566","","9781908005458","Smith, Rebecca","1966-","person","author","Smith, Rebecca, 1966-, author [person]","","","England","Lewes","","2012","","223 pages, illustrations, 22 cm","646.7","YK.2013.a.12200","Austen, Jane, 1775-1817--Philosophy ; Life skills--Handbooks, manuals, etc","Handbook or manual","English","",""
"Guide to romance","Jane Austen's guide to dating ; Jane Austen's guide to romance ; Jane Austen's guide to romance : the Regency rules","013420429","Monograph","Language material ; Text","Volume","GBA629526","","9780755314638","Henderson, Lauren","1966-","person","author","Henderson, Lauren, 1966-, author [person]","","","England","London","Headline Review","2006","","309 pages, 20 cm","646.77","YK.2007.a.12686","Austen, Jane, 1775-1817 ; Man-woman relationships in literature ; Dating (Social customs)","","English","Originally published as: Jane Austen's guide to dating. New York : Hyperion: 2005. British edition originally published: 2005",""
"Guinea pig Pride and prejudice","A guinea pig Pride & prejudice : a novel in three volumes ; Pride and prejudice","017436001","Monograph","Language material ; Text","Volume","GBB589564","","9781408865514 ; 9781632862426","Goodwin, Alex","1985-","person","author","Gammell, Tess, 1987-, illustrator [person] ; Belmondo, photographer [person] ; Goodwin, Alex, 1985-, author [person] ; Austen, Jane, 1775-1817 [person]","","","England","London","Bloomsbury","2015","","50 pages, colour illustrations, 14 x 17 cm","823.92","YKL.2019.a.1008","Austen, Jane, 1775-1817--Parodies, imitations, etc ; Guinea pigs--Pictorial works ; Pride and prejudice (Austen, Jane) ; Guinea pigs--Humor","Humour or satire ; Parody ; Pictorial work ; Romance fiction","English","",""
"Guinea pig pride and prejudice","A guinea pig pride & prejudice : a novel in three volumes : an adaptation of the original ; Pride and prejudice","017949601","Monograph","Language material ; Text","Online resource","GBB6I3635","","9781408865521 ; 9781632862433","Goodwin, Alex","","person","author","Austen, Jane, 1775-1817, author [person] ; Newell, Tess, 1987- [person] ; Austen, Jane, 1775-1817 [person] ; Goodwin, Alex, author [person]","","","England ; United States of America","New York","Bloomsbury","2015","","1 online resource (56 pages), colour illustrations","823.92","ELD.DS.71728","Gift books ; Humor--Topic--Animals ; Classic fiction (pre c 1945) ; Domestic animals & pets ; Fiction--Classics ; Austen, Jane, 1775-1817--Adaptations ; Darcy, Fitzwiliam, Elizabeth (Fictitious character)--Juvenile fiction ; Bennet, Elizabeth (Fictitious character)--Juvenile fiction ; Pets--Rabbits, Mice, Hamsters, Guinea Pigs, etc","Adaptation ; Children's fiction","English","",""
"Guinea pig pride and prejudice","A guinea pig pride & prejudice : a novel in three volumes : an adaptation of the original ; Pride and prejudice","017963537","Monograph","Language material ; Text","Online resource","GBB6I4548","","9781408865521 ; 9781632862433","Goodwin, Alex","","person","author","Austen, Jane, 1775-1817, author [person] ; Austen, Jane, 1775-1817 [person] ; Goodwin, Alex, author [person] ; Newell, Tess,1987 [person]","","","England ; United States of America","New York","Bloomsbury","2015","","1 online resource (56 pages), colour illustrations","823.92","ELD.DS.73406","Gift books ; Humor--Topic--Animals ; Classic fiction (pre c 1945) ; Domestic animals & pets ; Fiction--Classics ; Austen, Jane, 1775-1817--Adaptations ; Darcy, Fitzwiliam, Elizabeth (Fictitious character)--Juvenile fiction ; Bennet, Elizabeth (Fictitious character)--Juvenile fiction ; Pets--Rabbits, Mice, Hamsters, Guinea Pigs, etc","Adaptation ; Children's fiction","English","",""
"Happily ever after : celebrating Jane Austen's Pride and prejudice","","016172271","Monograph","Language material ; Still image ; Text","Volume","GBB293552","","9780711233744","Fullerton, Susannah","1960-","person","author","Fullerton, Susannah, 1960-, author [person]","","","England","London","Frances Lincoln","2013","","240 pages, illustrations (black and white and colour), 23 cm","823.7","YC.2013.a.13861","Austen, Jane, 1775-1817","","English","",""
"Heart of darkness","Five great English novels ; Frankenstein ; Great expectations ; Pride and prejudice ; Wuthering Heights","017793672","Monograph","Language material ; Text","Volume","GBB645102","","9780486807430","","","","","Austen, Jane, 1775-1817 [person] ; Brontë, Emily, 1818-1848 [person] ; Dickens, Charles, 1812-1870 [person] ; Conrad, Joseph, 1857-1924 [person] ; Shelley, Mary Wollstonecraft, 1797-1851 [person]","","","United States of America","Mineola, New York","Dover","2016","","5 volumes, 21 cm","823.008","","","","English","In slip case",""
"Heart stone","Heartstone ; Pride and prejudice","018724465","Monograph","Language material ; Text","Online resource","GBB833015","","9780062451958","White, Elle Katharine","1991-","person","author","White, Elle Katharine, 1991-, author [person] ; Austen, Jane, 1775-1817 [person]","","","United States of America","New York","Harper Voyager","2016","","1 online resource (337 pages)","813.6","ELD.DS.259925","Monsters ; Austen, Jane, 1775-1817--Parodies, imitations, etc ; Fiction--Historical ; Monsters--Fiction ; FICTION / Historical ; FICTION / Fantasy / Epic","Fantasy ; Fiction ; Historical fiction","English","",""
"Heart stone","Heartstone ; Pride and prejudice","019679043","Monograph","Language material ; Text","Online resource","GBC011031","","9780062451958","White, Elle Katharine","1991-","person","author","White, Elle Katharine, 1991-, author [person] ; Austen, Jane, 1775-1817 [person]","","","United States of America","New York","Harper Voyager","2016","","1 online resource (337 pages)","813.6","ELD.DS.484716","Monsters ; Austen, Jane, 1775-1817--Parodies, imitations, etc ; Monsters--Fiction ; FICTION / Historical ; FICTION / Fantasy / Epic","Fantasy ; Fiction ; Historical fiction","English","",""
"Heartstone","Heart stone ; Pride and prejudice","018724465","Monograph","Language material ; Text","Online resource","GBB833015","","9780062451958","White, Elle Katharine","1991-","person","author","White, Elle Katharine, 1991-, author [person] ; Austen, Jane, 1775-1817 [person]","","","United States of America","New York","Harper Voyager","2016","","1 online resource (337 pages)","813.6","ELD.DS.259925","Monsters ; Austen, Jane, 1775-1817--Parodies, imitations, etc ; Fiction--Historical ; Monsters--Fiction ; FICTION / Historical ; FICTION / Fantasy / Epic","Fantasy ; Fiction ; Historical fiction","English","",""
"Heartstone","Heart stone ; Pride and prejudice","019679043","Monograph","Language material ; Text","Online resource","GBC011031","","9780062451958","White, Elle Katharine","1991-","person","author","White, Elle Katharine, 1991-, author [person] ; Austen, Jane, 1775-1817 [person]","","","United States of America","New York","Harper Voyager","2016","","1 online resource (337 pages)","813.6","ELD.DS.484716","Monsters ; Austen, Jane, 1775-1817--Parodies, imitations, etc ; Monsters--Fiction ; FICTION / Historical ; FICTION / Fantasy / Epic","Fantasy ; Fiction ; Historical fiction","English","",""
"Henry & Eliza : a novel","","008810794","Monograph","Language material ; Text","Volume","GB8418365","","9780950008738","Austen, Jane","1775-1817","person","author","Bawden, Edward, 1903-1989, illustrator [person] ; Austen, Jane, 1775-1817, author [person]","","","England","Moreton-in-Marsh","Kit-Cat","1984","","18 pages, 1 illustration, 22 cm","823.7","X.950/30156","Fiction in English--1800-1837--Texts","","English","Limited edition of 320 numbered copies",""
"Henry and Eliza","","009252494","Monograph","Language material ; Text","Volume","","","9780969827177","Austen, Jane","1775-1817","person","author","Hartnick, Karen L. [person] ; Austen, Jane, 1775-1817, author [person]","","","Canada","Edmonton","Juvenilia Press","1997","","xix, 23 pages, illustrations, facsimile, 22 cm","","YA.1998.a.2625","Women heroes--Fiction","","English","",""
"Heroines in Jane Austen","","010013232","Monograph","Language material ; Text","Volume","","","","Atma Ram","1937-","person","author","Atma Ram, 1937-, author [person]","","","India","New Delhi","Kalyani","1982","","114 pages","","YA.1987.a.20294","Austen, Jane, 1775-1817 ; Fiction in English--Austen, Jane--Heroines","","English","",""
"History of England & Cassandra's portraits","History of England and Cassandra's portraits ; Jane Austen's the history of England & Cassandra's portraits ; Jane Austen's the history of England and Cassandra's portraits","015398887","Monograph","Language material ; Text","Volume","","","9780733427800","Austen, Jane","1775-1817","person","author","Alexander, Christine (Christine Anne) [person] ; Upfal, Annette, 1940- [person] ; Austen, Cassandra, 1773-1845 [person] ; Austen, Jane, 1775-1817, author [person]","","","Australia","Sydney","Juvenilia Press","2009","","lv, 74 pages, illustrations (some colour), facsimiles, 22 cm","827.6","YD.2009.a.8443 ; m09/.33511","Great Britain--History--Humor ; England--Humor ; Parody","Humour or satire","English","'illustrations by Cassandra Austen'--cover",""
"History of England and Cassandra's portraits","History of England & Cassandra's portraits ; Jane Austen's the history of England & Cassandra's portraits ; Jane Austen's the history of England and Cassandra's portraits","015398887","Monograph","Language material ; Text","Volume","","","9780733427800","Austen, Jane","1775-1817","person","author","Alexander, Christine (Christine Anne) [person] ; Upfal, Annette, 1940- [person] ; Austen, Cassandra, 1773-1845 [person] ; Austen, Jane, 1775-1817, author [person]","","","Australia","Sydney","Juvenilia Press","2009","","lv, 74 pages, illustrations (some colour), facsimiles, 22 cm","827.6","YD.2009.a.8443 ; m09/.33511","Great Britain--History--Humor ; England--Humor ; Parody","Humour or satire","English","'illustrations by Cassandra Austen'--cover",""
"History of England","Lady Susan ; Sanditon ; Sanditon : Lady Susan ; & The history of England &c. : the juvenilia and shorter works of Jane Austen ; Works. Selections","017835694","Monograph","Language material ; Still image ; Text","Volume","GBB662231","","9781909621688","Austen, Jane","1775-1817","person","author","White, Kathryn, Museum curator, writer [person] ; Austen, Jane, 1775-1817 [person] ; Austen, Jane, 1775-1817, author [person]","","","England","London","Macmillan","2016","","504 pages, black and white illustrations, 16 cm","823.7","YKL.2016.a.11035","Upper class--Fiction ; England--Social life and customs--19th century--Fiction ; Women--Conduct of life--Fiction","Fiction","English","'Complete & unabridged'--Half title page ; Originally published: 2011",""
"Homage to Jane: Movies that Echo Austen","'You Should Be in Pictures': Jane Austen's Portrait ; An Interview with Joan Klingel Ray, author of Jane Austen for Dummies ; An Interview with Karen Joy Fowler, the author of The Jane Austen Book Club ; Answers to The Jane Austen Aptitude Test ; Answers to the Crossword Puzzle ; Austen the Novelist ; Bedside, bathtub and armchair companion to Jane Austen ; Cinderella and Evil Witches: Myth-Placed Affections ; Emma ; Emma's Dream: Austen and Shakespeare Meet on a Midsummer Night ; Excerpt from the Juvenilia: 'The Adventures of Mr. Harley' ; First Impressions: Letting Jane Austen into Your Life ; If Jane Austen Had Been a Man ; If She Could See Them Now: Austen's Relationship with Her Publishers ; Initial Impressions or, 'I'm Missing Your Letters': An Austen Crossword Puzzle ; Jane Austen Film Chronology ; Jane Austen at the Movies ; Jane Austen in the Twenty-First Century ; LARPing and JARPing ; Last Words: Acknowledgments ; Love and Friendship: 'Beware My Laura' ; Mansfield Park ; More than a Constitutional: Heroines Who Favor Walking ; Mr. Knightley, Detective ; Mrs. Bennet was Right: The Marriage Plot in Austen Novels ; Music in 1995 BBC/A & E Pride and Prejudice ; Northanger Abbey ; Northanger Abbey: The Graphic Novel. A discussion with Anne Timmons, graphic artist ; On Reading Jane Austen ; Persuasion ; Pride and Prejudice ; Pride and Prejudice II, by Kentuck ; Pride and Prejudice: The Rejected Screenplays ; Raiders of the Early Works: The Juvenilia ; Sanditon ; Say Cheese!: Picturesque Beauty and Jane Austen ; Sense and Sensibility ; Sleuthing Regency Dresses ; The Best Gifts for a Janeite ; The Clergy in Austen's Fiction ; The Ideal Jane Austen Tour ; The Importance of a Good Carriage ; The Jane Austen Aptitude Test ; The Lives of Jane Austen ; The Sentence ; The Watsons and Lady Susan ; The bedside, bathtub & armchair companion to Jane Austen ; Was Lady Russell Wrong? ; What Does Lady Bertram Do? ; What Happened at the Ha-ha? ; What Makes a Janeite? ; What's Up with White Soup? Understanding Food in Jane Austen ; Why I Married Her. By Mr. Bennet ; Willoughby v. Brandon ; Winchester Cathedral","019404300","Monograph","Language material ; Text","Online resource","GBB995332","","9781441184863","Adams, Carol J.","","person","","Buchanan, Douglas [person] ; Adams, Carol J. [person] ; Gesch, Kelly [person]","","","United States of America","New York","Continuum","2008","","1 online resource (x, 218 pages), illustrations","823.7","ELD.DS.422482","Women and literature ; Austen, Jane, 1775-1817--Handbooks, manuals, etc ; Film ; Rezeption ; Novelists, English--19th century--Biography ; Women and literature--England--History--19th century ; Literatur ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","Biography ; Handbook or manual ; History","English","",""
"How to study a Jane Austen novel","","010055383","Monograph","Language material ; Text","Volume","GB8623122","","9780333413463","Jones, Vivien","1952-","person","author","Jones, Vivien, 1952-, author [person]","How to study literature","","England","Basingstoke","Macmillan","1987","","xii, 122 pages, 22 cm","823.7","YC.1987.a.5148","Austen, Jane, 1775-1817--Study and teaching ; Criticism ; Fiction in English--Austen, Jane--Study techniques","","English","",""
"How to study a Jane Austen novel","","010677477","Monograph","Language material ; Text","Volume","GB96X1199","","9780333670743","Jones, Vivien","1952-","person","author","Jones, Vivien, 1952-, author [person]","How to study ; Macmillan how to study","","England","Basingstoke","Macmillan","1997","2nd edition","xvi, 173 pages, 22 cm","823.7","YK.1996.a.23375","English fiction ; Austen, Jane, 1775-1817--Criticism and interpretation","","English","Previous edition: 1987 ; series on cover: Macmillan how to study",""
"How to write about Jane Austen","Bloom's how to write about Jane Austen","014783483","Monograph","Language material ; Text","Volume","GBA8C1886","","9780791097434","Kordich, Catherine J.","","person","author","Kordich, Catherine J., author [person]","Bloom's how to write about literature series","","England ; United States of America","London ; New York","Bloom ; Eurospan","2009","","x, 230 pages, 24 cm","823.7","YK.2009.a.32124","Austen, Jane, 1775-1817--Criticism and interpretation ; Criticism--Authorship ; Report writing","","English","",""
"Hrl Pride and Prejudice-Aud CD","","013723712","Monograph","Language material ; Text","Computer disc","","","9781413011050","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","","","","Hove","Thomson Learning","2004","","","","","","","English","",""
"Hypocrisy and the politics of politeness : manners and morals from Locke to Austen","","011620856","Monograph","Language material ; Text","Volume","GBA4Y9842","","9780521835237","Davidson, Jenny","","person","author","Davidson, Jenny, author [person]","","","England","Cambridge","Cambridge University Press","2004","","x, 242 pages, 24 cm","820.9353","YC.2006.a.797 ; m04/27011","Courtesy in literature ; Moral conditions in literature ; Etiquette in literature ; Austen, Jane, 1775-1817--Ethics ; Hypocrisy in literature ; Literature and society--England--History--18th century ; Ethics in literature ; Locke, John, 1632-1704--Ethics ; English literature--18th century--History and criticism","","English","",""
"Hypocrisy and the politics of politeness : manners and morals from Locke to Austen","","013950311","Monograph","Language material ; Text","Volume","GBA775052","","9780521047388","Davidson, Jenny","","person","","Davidson, Jenny [person]","","","England","Cambridge","Cambridge University Press","2007","","1 volume","820.9353","","Courtesy in literature ; Moral conditions in literature ; Etiquette in literature ; Austen, Jane, 1775-1817--Ethics ; Hypocrisy in literature ; Literature and society--England--History--18th century ; Ethics in literature ; Locke, John, 1632-1704--Ethics ; English literature--18th century--History and criticism","","English","Originally published: 2004",""
"I have five daughters : a morning-room comedy in three acts made from Jane Austen's novel 'Pride and Prejudice.'","Pride and prejudice","002330863","Monograph","Language material ; Text","Volume","","","","Macnamara, Margaret","1874-1950","person","author","Austen, Jane, 1775-1817 [person] ; Macnamara, Margaret, 1874-1950, author [person]","","","England","London","Play Rights & Publications","1936","","83 pages (8°)","","11780.b.58","","","English","",""
"I love Jane Austen : 400 fantastic facts inside","","018133465","Monograph","Language material ; Still image ; Text","Volume","GBB6J9657","","9781841657578","Ludlow, Cate","","person","author","Ludlow, Cate, author [person]","","","England","Andover","Pitkin","2017","","1 volume, colour illustrations, 15 x 18 cm","823.7","","Austen, Jane, 1775-1817--Miscellanea ; Women novelists, English--19th century--Miscellanea ; Novelists, English--19th century--Miscellanea","","English","",""
"I was Jane Austen's best friend : a secret diary","","015634412","Monograph","Language material ; Text","Volume","GBB0A1086","","9780330509534","Harrison, Cora","","person","","Hellard, Susan [person] ; Harrison, Cora [person]","","","England","London","Macmillan","2011","","342 pages, illustrations, 20 cm","823.92","","Austen, Jane, 1775-1817--Juvenile fiction ; Great Britain--History--1789-1820--Juvenile fiction ; Best friends--Juvenile fiction ; Courtship--Juvenile fiction","Children's fiction ; Diary fiction ; Historical fiction","English","Originally published: 2010",""
"I was Jane Austen's best friend","","015421138","Monograph","Language material ; Text","Volume","GBA9B0821","","9780230743526 ; 9780230748897","Harrison, Cora","","person","author","Harrison, Cora, author [person] ; Hellard, Susan [person]","","","England","London","Macmillan","2010","","342 pages, illustrations, 21 cm","823.92","YK.2010.a.13148","Austen, Jane, 1775-1817--Juvenile fiction ; Courtship--England--History--19th century--Juvenile fiction ; Best friends--Juvenile fiction ; Great Britain--History--19th century--Juvenile fiction","Children's fiction ; Historical fiction","English","",""
"I, Jane Austen : a re-creation in rime royal based on the letters of Jane Austen, her novels and the comments of her biographers","","010321485","Monograph","Language material ; Text","Volume","GB7123486","","9780710071026","Corringham, Mary","1906-1990","person","author","Austen, Jane, 1775-1817 [person] ; Corringham, Mary, 1906-1990, author [person]","","","England","London","Routledge & K. Paul","1971","","84 pages, 24 cm","823.7","W23/8661 ; X.981/2564","Austen, Jane, 1775-1817--Poetry ; Fiction in English--Austen, Jane--Biographies--Poems ; Women novelists--Poetry","","English","",""
"Ideal und Realität : weibliche Entwicklungsprozesse bei Jane Austen, Elizabeth Gaskell und George Eliot","","012721157","Monograph","Language material ; Text","Volume","","","9783631317068","Boerckel, Catharina","1965-","person","author","Boerckel, Catharina, 1965-, author [person]","Anglo-amerikanische Studien","Band 10 = [Anglo-amerikanische Studien]","Germany ; United States of America","Frankfurt am Main ; New York","Lang","1997","","142 pages, 21 cm","823.809352042","YA.2000.a.12108","Ideals (Philosophy) in literature ; Austen, Jane, 1775-1817 ; English fiction--19th century--History and criticism ; Women and literature--Great Britain--History--19th century ; Eliot, George, 1819-1880 ; Gaskell, Elizabeth Cleghorn, 1810-1865 ; Reality in literature ; English fiction--Women authors--History and criticism","","German","Originally presented as the author's thesis (doctoral) --Mainz, 1996",""
"If Jane Austen Had Been a Man","'You Should Be in Pictures': Jane Austen's Portrait ; An Interview with Joan Klingel Ray, author of Jane Austen for Dummies ; An Interview with Karen Joy Fowler, the author of The Jane Austen Book Club ; Answers to The Jane Austen Aptitude Test ; Answers to the Crossword Puzzle ; Austen the Novelist ; Bedside, bathtub and armchair companion to Jane Austen ; Cinderella and Evil Witches: Myth-Placed Affections ; Emma ; Emma's Dream: Austen and Shakespeare Meet on a Midsummer Night ; Excerpt from the Juvenilia: 'The Adventures of Mr. Harley' ; First Impressions: Letting Jane Austen into Your Life ; Homage to Jane: Movies that Echo Austen ; If She Could See Them Now: Austen's Relationship with Her Publishers ; Initial Impressions or, 'I'm Missing Your Letters': An Austen Crossword Puzzle ; Jane Austen Film Chronology ; Jane Austen at the Movies ; Jane Austen in the Twenty-First Century ; LARPing and JARPing ; Last Words: Acknowledgments ; Love and Friendship: 'Beware My Laura' ; Mansfield Park ; More than a Constitutional: Heroines Who Favor Walking ; Mr. Knightley, Detective ; Mrs. Bennet was Right: The Marriage Plot in Austen Novels ; Music in 1995 BBC/A & E Pride and Prejudice ; Northanger Abbey ; Northanger Abbey: The Graphic Novel. A discussion with Anne Timmons, graphic artist ; On Reading Jane Austen ; Persuasion ; Pride and Prejudice ; Pride and Prejudice II, by Kentuck ; Pride and Prejudice: The Rejected Screenplays ; Raiders of the Early Works: The Juvenilia ; Sanditon ; Say Cheese!: Picturesque Beauty and Jane Austen ; Sense and Sensibility ; Sleuthing Regency Dresses ; The Best Gifts for a Janeite ; The Clergy in Austen's Fiction ; The Ideal Jane Austen Tour ; The Importance of a Good Carriage ; The Jane Austen Aptitude Test ; The Lives of Jane Austen ; The Sentence ; The Watsons and Lady Susan ; The bedside, bathtub & armchair companion to Jane Austen ; Was Lady Russell Wrong? ; What Does Lady Bertram Do? ; What Happened at the Ha-ha? ; What Makes a Janeite? ; What's Up with White Soup? Understanding Food in Jane Austen ; Why I Married Her. By Mr. Bennet ; Willoughby v. Brandon ; Winchester Cathedral","019404300","Monograph","Language material ; Text","Online resource","GBB995332","","9781441184863","Adams, Carol J.","","person","","Buchanan, Douglas [person] ; Adams, Carol J. [person] ; Gesch, Kelly [person]","","","United States of America","New York","Continuum","2008","","1 online resource (x, 218 pages), illustrations","823.7","ELD.DS.422482","Women and literature ; Austen, Jane, 1775-1817--Handbooks, manuals, etc ; Film ; Rezeption ; Novelists, English--19th century--Biography ; Women and literature--England--History--19th century ; Literatur ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","Biography ; Handbook or manual ; History","English","",""
"If She Could See Them Now: Austen's Relationship with Her Publishers","'You Should Be in Pictures': Jane Austen's Portrait ; An Interview with Joan Klingel Ray, author of Jane Austen for Dummies ; An Interview with Karen Joy Fowler, the author of The Jane Austen Book Club ; Answers to The Jane Austen Aptitude Test ; Answers to the Crossword Puzzle ; Austen the Novelist ; Bedside, bathtub and armchair companion to Jane Austen ; Cinderella and Evil Witches: Myth-Placed Affections ; Emma ; Emma's Dream: Austen and Shakespeare Meet on a Midsummer Night ; Excerpt from the Juvenilia: 'The Adventures of Mr. Harley' ; First Impressions: Letting Jane Austen into Your Life ; Homage to Jane: Movies that Echo Austen ; If Jane Austen Had Been a Man ; Initial Impressions or, 'I'm Missing Your Letters': An Austen Crossword Puzzle ; Jane Austen Film Chronology ; Jane Austen at the Movies ; Jane Austen in the Twenty-First Century ; LARPing and JARPing ; Last Words: Acknowledgments ; Love and Friendship: 'Beware My Laura' ; Mansfield Park ; More than a Constitutional: Heroines Who Favor Walking ; Mr. Knightley, Detective ; Mrs. Bennet was Right: The Marriage Plot in Austen Novels ; Music in 1995 BBC/A & E Pride and Prejudice ; Northanger Abbey ; Northanger Abbey: The Graphic Novel. A discussion with Anne Timmons, graphic artist ; On Reading Jane Austen ; Persuasion ; Pride and Prejudice ; Pride and Prejudice II, by Kentuck ; Pride and Prejudice: The Rejected Screenplays ; Raiders of the Early Works: The Juvenilia ; Sanditon ; Say Cheese!: Picturesque Beauty and Jane Austen ; Sense and Sensibility ; Sleuthing Regency Dresses ; The Best Gifts for a Janeite ; The Clergy in Austen's Fiction ; The Ideal Jane Austen Tour ; The Importance of a Good Carriage ; The Jane Austen Aptitude Test ; The Lives of Jane Austen ; The Sentence ; The Watsons and Lady Susan ; The bedside, bathtub & armchair companion to Jane Austen ; Was Lady Russell Wrong? ; What Does Lady Bertram Do? ; What Happened at the Ha-ha? ; What Makes a Janeite? ; What's Up with White Soup? Understanding Food in Jane Austen ; Why I Married Her. By Mr. Bennet ; Willoughby v. Brandon ; Winchester Cathedral","019404300","Monograph","Language material ; Text","Online resource","GBB995332","","9781441184863","Adams, Carol J.","","person","","Buchanan, Douglas [person] ; Adams, Carol J. [person] ; Gesch, Kelly [person]","","","United States of America","New York","Continuum","2008","","1 online resource (x, 218 pages), illustrations","823.7","ELD.DS.422482","Women and literature ; Austen, Jane, 1775-1817--Handbooks, manuals, etc ; Film ; Rezeption ; Novelists, English--19th century--Biography ; Women and literature--England--History--19th century ; Literatur ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","Biography ; Handbook or manual ; History","English","",""
"Illustrierte und kommentierte Bibliographie der deutschen Buchausgaben von Jane Austen 1822-2011 und ihren Epigoninnen Joan Aiken und Emma Tennant","Deutsche Bibliographie von Jane Austen ; Illustrierte und kommentierte Bibliographie der deutschen Buchausgaben von Jane Austen 1822-2011 ; Jane Austin : Bibliographie der deutschen Buchausgaben","015958878","Monograph","Language material ; Text","Volume","","","9783935634946","Münch, Detlef","","person","author","Münch, Detlef, author [person]","","","Germany","Dortmund","Synergen","2011","","150 pages, illustrations, 20 cm","","YF.2013.a.1280","Austen, Jane, 1775-1817--Illustrations ; Austen, Jane, 1775-1817--Translations into German--Bibliography ; Book covers--Germany--Pictorial works","Bibliography ; Pictorial work","German","Errata slip inserted",""
"Illustrierte und kommentierte Bibliographie der deutschen Buchausgaben von Jane Austen 1822-2011","Deutsche Bibliographie von Jane Austen ; Illustrierte und kommentierte Bibliographie der deutschen Buchausgaben von Jane Austen 1822-2011 und ihren Epigoninnen Joan Aiken und Emma Tennant ; Jane Austin : Bibliographie der deutschen Buchausgaben","015958878","Monograph","Language material ; Text","Volume","","","9783935634946","Münch, Detlef","","person","author","Münch, Detlef, author [person]","","","Germany","Dortmund","Synergen","2011","","150 pages, illustrations, 20 cm","","YF.2013.a.1280","Austen, Jane, 1775-1817--Illustrations ; Austen, Jane, 1775-1817--Translations into German--Bibliography ; Book covers--Germany--Pictorial works","Bibliography ; Pictorial work","German","Errata slip inserted",""
"Imagining minds : the neuro-aesthetics of Austen, Eliot, and Hardy","","015693103","Monograph","Language material ; Text","Volume","","","9780814211397 ; 9780814251744 ; 9780814292389","Young, Kay","1959-","person","author","Young, Kay, 1959-, author [person]","Theory and interpretation of narrative","","United States of America","Columbus","Ohio State University Press","2010","","x, 218 pages, illustrations, 23 cm","823.809353","m10/.26790","Mind-brain identity theory ; Other minds (Theory of knowledge) ; English literature--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation ; Hardy, Thomas, 1840-1928--Criticism and interpretation ; Austen, Jane, 1775-1817--Criticism and interpretation ; Consciousness in literature","","English","",""
"Impulse & initiative : what if Mr. Darcy didn't take no for an answer?","Pride and prejudice","014771689","Monograph","Language material ; Text","Volume","GBA8B6494","","9781402213571","Reynolds, Abigail","","person","author","Reynolds, Abigail, author [person] ; Austen, Jane, 1775-1817 [person]","","","United States of America","Naperville, Illinois","Sourcebooks Landmark","2008","","411 pages, 20 cm","813.6","H.2009/2847","Courtship--Fiction ; Bennet, Elizabeth (Fictitious character)--Fiction ; Darcy, Fitzwilliam (Fictitious character)--Fiction ; Young women--Fiction ; England--Social life and customs--19th century--Fiction ; Sisters--Fiction ; Social classes--Fiction","Fiction ; Novel","English","",""
